Scenario_Label,W1,W2,Best_Score_GA,Best_Score_PSO
W1_1.0_W2_0.0,1.0,0.0,89.14524158400503,89.54079895389941
W1_0.9_W2_0.1,0.9,0.1,92.3806042329268,100.07995126069859
W1_0.8_W2_0.2,0.8,0.2,96.7592600471917,100.36322915614984
W1_0.7_W2_0.3,0.7,0.3,100.39772094047495,100.78722891458582
W1_0.6_W2_0.4,0.6,0.4,104.27952193202465,106.05621565654982
W1_0.5_W2_0.5,0.5,0.5,107.61819247009075,121.95593813692155
W1_0.4_W2_0.6,0.4,0.5,99.24420187767228,103.11533605465829
W1_0.3_W2_0.7,0.3,0.7,115.05417940864619,132.38021282129802
W1_0.2_W2_0.8,0.2,0.8,118.89594539286514,121.27397842045882
W1_0.1_W2_0.9,0.1,0.9,122.70576928916442,145.6910178790157
W1_0.0_W2_1.0,0.0,1.0,126.70326407610456,132.74962398460718
